name,conf,sharp,drawrate,goals
Claude Fable 5,0.5726013513513514,0.5734121621621622,0.0033783783783783786,1.695945945945946
Claude Opus 4.8,0.5941554054054055,0.5565878378378378,0,1.8986486486486487
DeepSeek V4 Pro,0.7086486486486486,0.5878682432432433,0.0033783783783783786,1.8783783783783783
GPT-5.5,0.5323648648648649,0.5642939189189189,0,1.5135135135135136
Gemini 3.1 Pro,0.8177364864864866,0.6060709459459459,0,1.7432432432432432
Grok 4.3,0.6733108108108109,0.5977027027027026,0.006756756756756757,2.439189189189189
Mistral Large 2512,0.757668918918919,0.5219594594594594,0.02702702702702703,2.2094594594594597
Qwen 3.7 Max,0.7291216216216216,0.5751351351351351,0,1.5506756756756757
